Snail ID,Site,Size Class,Prey
64,A,<20,Bal
64,A,<20,Os
64,A,<20,Os
64,A,<20,Os
64,A,<20,Os
64,A,<20,Sm
64,A,<20,Sm
64,A,<20,Os
64,A,<20,Sm
64,A,<20,Sm
31,A,<20,Os
31,A,<20,Sm
31,A,<20,Os
31,A,<20,Os
31,A,<20,Sm
31,A,<20,Sm
31,A,<20,Sm
31,A,<20,Brc
13,A,<20,Os
13,A,<20,Ser
13,A,<20,Os
13,A,<20,Ser
13,A,<20,Ser
13,A,<20,Sm
13,A,<20,Ser
13,A,<20,Ser
39,A,<20,Os
39,A,<20,Os
39,A,<20,Os
39,A,<20,Os
39,A,<20,Os
39,A,<20,Bal
39,A,<20,Bal
60,A,<20,Os
60,A,<20,Sm
60,A,<20,Ser
60,A,<20,Ser
60,A,<20,Ser
60,A,<20,Ser
107,A,<20,Bal
107,A,<20,Bal
107,A,<20,Bal
107,A,<20,Brc
107,A,<20,Ser
107,A,<20,Bal
107,A,<20,Brc
5,A,<20,Os
5,A,<20,Ser
5,A,<20,Ser
5,A,<20,Os
5,A,<20,Sm
5,A,<20,Sm
5,A,<20,Sm
24,A,<20,Os
24,A,<20,Os
24,A,<20,Os
24,A,<20,Sm
24,A,<20,Os
24,A,<20,Sm
24,A,<20,Os
65,A,<20,Ser
65,A,<20,Ser
65,A,<20,Ser
65,A,<20,Ser
65,A,<20,Ser
65,A,<20,Os
65,A,<20,Ser
21,A,<20,Os
21,A,<20,Os
21,A,<20,Ser
21,A,<20,Os
21,A,<20,Os
21,A,<20,Ser
21,A,<20,Os
92,A,<20,Sm
92,A,<20,Ver
92,A,<20,Chm
92,A,<20,Ser
92,A,<20,Ser
92,A,<20,Os
58,A,<20,Ver
58,A,<20,Os
58,A,<20,Os
58,A,<20,Os
58,A,<20,Os
69,A,<20,Sm
69,A,<20,Brc
69,A,<20,Sm
69,A,<20,Sm
69,A,<20,Sm
20,A,<20,Sm
20,A,<20,Sm
20,A,<20,Ser
20,A,<20,Sm
20,A,<20,Sm
36,A,<20,Bal
36,A,<20,Bal
36,A,<20,Bal
36,A,<20,Bal
36,A,<20,Bal
25,A,<20,Sm
25,A,<20,Ver
25,A,<20,Sm
25,A,<20,Os
25,A,<20,Os
51,A,<20,Bal
51,A,<20,Sm
51,A,<20,Sm
51,A,<20,Bal
51,A,<20,Bal
44,A,20-30,Os
44,A,20-30,Ver
44,A,20-30,Ser
44,A,20-30,Os
44,A,20-30,Ver
44,A,20-30,Os
44,A,20-30,Os
44,A,20-30,Os
122,A,20-30,Ver
122,A,20-30,Os
122,A,20-30,Os
122,A,20-30,Ser
