"","Country","SCP","MCP"
"1","USA",635,123
"2","CHINA",288,140
"3","SPAIN",129,67
"4","GERMANY",87,79
"5","FRANCE",81,71
"6","CANADA",95,35
"7","ENGLAND",61,61
"8","AUSTRALIA",83,24
"9","BRAZIL",72,29
"10","INDIA",65,10
"11","ITALY",41,25
"12","BELGIUM",24,34
"13","IRAN",32,15
"14","SWITZERLAND",24,20
"15","ARGENTINA",27,7
"16","MEXICO",22,12
"17","NETHERLANDS",11,23
"18","TURKEY",32,2
"19","CZECH REPUBLIC",28,3
"20","JAPAN",16,13
"21","SOUTH AFRICA",18,11
"22","NEW ZEALAND",20,6
"23","ISRAEL",19,4
"24","NIGERIA",15,7
"25","SWEDEN",5,16
"26","RUSSIA",13,7
"27","AUSTRIA",11,8
"28","POLAND",18,1
"29","SCOTLAND",7,12
"30","WALES",6,13
"31","ETHIOPIA",7,9
"32","KOREA",5,11
"33","NORWAY",6,9
"34","FINLAND",10,2
"35","DENMARK",5,6
"36","IRELAND",1,9
"37","KENYA",3,7
"38","PORTUGAL",5,4
"39","GEORGIA",6,2
"40","ICELAND",4,4
"41","SINGAPORE",1,7
"42","VIETNAM",3,5
"43","CHILE",6,1
"44","HUNGARY",6,1
"45","PAKISTAN",6,1
"46","GREECE",6,0
"47","INDONESIA",3,3
"48","MALAYSIA",4,2
"49","CAMEROON",2,3
"50","LITHUANIA",1,4
"51","ROMANIA",5,0
"52","SLOVAKIA",3,2
"53","TAIWAN",1,4
"54","URUGUAY",1,4
"55","BURKINA FASO",0,4
"56","MOROCCO",1,3
"57","PHILIPPINES",2,2
"58","SERBIA",4,0
"59","BULGARIA",2,1
"60","COLOMBIA",1,2
"61","JORDAN",1,2
"62","SLOVENIA",2,1
"63","SRI LANKA",3,0
"64","TUNISIA",1,2
"65","CROATIA",2,0
"66","ECUADOR",1,1
"67","GHANA",0,2
"68","NIGER",1,1
"69","TANZANIA",1,1
"70","VENEZUELA",2,0
"71","ALGERIA",1,0
"72","ARMENIA",0,1
"73","BOLIVIA",0,1
"74","COSTA RICA",1,0
"75","EGYPT",0,1
"76","ESTONIA",0,1
"77","FIJI",1,0
"78","JAMAICA",1,0
"79","LAOS",1,0
"80","LATVIA",1,0
"81","LEBANON",1,0
"82","LUXEMBOURG",1,0
"83","MADAGASCAR",0,1
"84","MALAWI",0,1
"85","MOLDOVA",0,1
"86","MOZAMBIQUE",0,1
"87","NEPAL",1,0
"88","SAUDI ARABIA",0,1
"89","SIERRA LEONE",1,0
"90","SUDAN",0,1
"91","THAILAND",1,0
"92","UGANDA",0,1
"93","UKRAINE",0,1
"94","UZBEKISTAN",0,1
"95","ZIMBABWE",0,1
