"","Country","SCP","MCP"
"1","USA",621,139
"2","CHINA",284,139
"3","SPAIN",128,67
"4","GERMANY",87,78
"5","FRANCE",81,70
"6","CANADA",96,35
"7","ENGLAND",63,58
"8","AUSTRALIA",85,23
"9","BRAZIL",70,26
"10","INDIA",66,9
"11","ITALY",41,26
"12","BELGIUM",24,33
"13","IRAN",32,15
"14","SWITZERLAND",24,19
"15","ARGENTINA",27,7
"16","NETHERLANDS",14,20
"17","TURKEY",32,2
"18","MEXICO",22,11
"19","CZECH REPUBLIC",28,3
"20","JAPAN",16,14
"21","SOUTH AFRICA",19,10
"22","NEW ZEALAND",18,6
"23","ISRAEL",19,4
"24","NIGERIA",17,6
"25","RUSSIA",15,6
"26","SWEDEN",6,15
"27","POLAND",19,1
"28","AUSTRIA",11,8
"29","SCOTLAND",7,12
"30","WALES",6,13
"31","ETHIOPIA",7,9
"32","KOREA",5,10
"33","NORWAY",6,9
"34","FINLAND",10,2
"35","DENMARK",5,6
"36","IRELAND",1,9
"37","KENYA",3,7
"38","PORTUGAL",5,4
"39","GEORGIA",5,3
"40","ICELAND",4,4
"41","SINGAPORE",1,7
"42","VIETNAM",3,5
"43","CHILE",6,1
"44","HUNGARY",6,1
"45","PAKISTAN",6,1
"46","GREECE",6,0
"47","INDONESIA",3,3
"48","MALAYSIA",4,2
"49","CAMEROON",2,3
"50","LITHUANIA",1,4
"51","ROMANIA",5,0
"52","SLOVAKIA",3,2
"53","TAIWAN",1,4
"54","URUGUAY",1,4
"55","BURKINA FASO",1,3
"56","MOROCCO",1,3
"57","PHILIPPINES",3,1
"58","SERBIA",4,0
"59","BULGARIA",2,1
"60","COLOMBIA",1,2
"61","JORDAN",1,2
"62","SLOVENIA",2,1
"63","SRI LANKA",3,0
"64","CROATIA",2,0
"65","ECUADOR",1,1
"66","EGYPT",0,2
"67","GHANA",1,1
"68","NIGER",2,0
"69","TANZANIA",1,1
"70","TUNISIA",1,1
"71","VENEZUELA",2,0
"72","ALGERIA",1,0
"73","ARMENIA",0,1
"74","BOLIVIA",0,1
"75","COSTA RICA",1,0
"76","ESTONIA",0,1
"77","FIJI",1,0
"78","JAMAICA",1,0
"79","LAOS",1,0
"80","LATVIA",1,0
"81","LEBANON",1,0
"82","LUXEMBOURG",1,0
"83","MADAGASCAR",0,1
"84","MALAWI",0,1
"85","MOLDOVA",1,0
"86","MOZAMBIQUE",0,1
"87","NEPAL",1,0
"88","SAUDI ARABIA",0,1
"89","SIERRA LEONE",1,0
"90","SUDAN",0,1
"91","THAILAND",1,0
"92","UGANDA",0,1
"93","UKRAINE",0,1
"94","UZBEKISTAN",0,1
"95","ZIMBABWE",0,1
