"","Country  ","Articles","Freq","SCP","MCP"
"1","USA           ","760","0.24336","621","139"
"2","CHINA         ","423","0.13545","284","139"
"3","SPAIN         ","195","0.06244","128"," 67"
"4","GERMANY       ","165","0.05283"," 87"," 78"
"5","FRANCE        ","151","0.04835"," 81"," 70"
"6","CANADA        ","131","0.04195"," 96"," 35"
"7","ENGLAND       ","121","0.03874"," 63"," 58"
"8","AUSTRALIA     ","108","0.03458"," 85"," 23"
"9","BRAZIL        "," 96","0.03074"," 70"," 26"
"10","INDIA         "," 75","0.02402"," 66","  9"
"11","ITALY         "," 67","0.02145"," 41"," 26"
"12","BELGIUM       "," 57","0.01825"," 24"," 33"
"13","IRAN          "," 47","0.01505"," 32"," 15"
"14","SWITZERLAND   "," 43","0.01377"," 24"," 19"
"15","ARGENTINA     "," 34","0.01089"," 27","  7"
"16","NETHERLANDS   "," 34","0.01089"," 14"," 20"
"17","TURKEY        "," 34","0.01089"," 32","  2"
"18","MEXICO        "," 33","0.01057"," 22"," 11"
"19","CZECH REPUBLIC"," 31","0.00993"," 28","  3"
"20","JAPAN         "," 30","0.00961"," 16"," 14"
"21","SOUTH AFRICA  "," 29","0.00929"," 19"," 10"
"22","NEW ZEALAND   "," 24","0.00768"," 18","  6"
"23","ISRAEL        "," 23","0.00736"," 19","  4"
"24","NIGERIA       "," 23","0.00736"," 17","  6"
"25","RUSSIA        "," 21","0.00672"," 15","  6"
"26","SWEDEN        "," 21","0.00672","  6"," 15"
"27","POLAND        "," 20","0.00640"," 19","  1"
"28","AUSTRIA       "," 19","0.00608"," 11","  8"
"29","SCOTLAND      "," 19","0.00608","  7"," 12"
"30","WALES         "," 19","0.00608","  6"," 13"
"31","ETHIOPIA      "," 16","0.00512","  7","  9"
"32","KOREA         "," 15","0.00480","  5"," 10"
"33","NORWAY        "," 15","0.00480","  6","  9"
"34","FINLAND       "," 12","0.00384"," 10","  2"
"35","DENMARK       "," 11","0.00352","  5","  6"
"36","IRELAND       "," 10","0.00320","  1","  9"
"37","KENYA         "," 10","0.00320","  3","  7"
"38","PORTUGAL      ","  9","0.00288","  5","  4"
"39","GEORGIA       ","  8","0.00256","  5","  3"
"40","ICELAND       ","  8","0.00256","  4","  4"
"41","SINGAPORE     ","  8","0.00256","  1","  7"
"42","VIETNAM       ","  8","0.00256","  3","  5"
"43","CHILE         ","  7","0.00224","  6","  1"
"44","HUNGARY       ","  7","0.00224","  6","  1"
"45","PAKISTAN      ","  7","0.00224","  6","  1"
"46","GREECE        ","  6","0.00192","  6","  0"
"47","INDONESIA     ","  6","0.00192","  3","  3"
"48","MALAYSIA      ","  6","0.00192","  4","  2"
"49","CAMEROON      ","  5","0.00160","  2","  3"
"50","LITHUANIA     ","  5","0.00160","  1","  4"
