"","Country     ","Total Citations","Average Article Citations"
"1","USA           ","31992","42.21"
"2","CHINA         "," 5352","12.50"
"3","FRANCE        "," 4844","31.87"
"4","SPAIN         "," 4532","23.12"
"5","CANADA        "," 4490","34.54"
"6","ENGLAND       "," 4343","35.60"
"7","GERMANY       "," 2677","16.13"
"8","AUSTRALIA     "," 2064","19.29"
"9","BELGIUM       "," 1772","30.55"
"10","BRAZIL        "," 1579","15.63"
"11","NETHERLANDS   "," 1436","42.24"
"12","ITALY         "," 1365","20.68"
"13","SWITZERLAND   ","  917","20.84"
"14","WALES         ","  818","43.05"
"15","SCOTLAND      ","  761","40.05"
"16","SWEDEN        ","  694","33.05"
"17","MEXICO        ","  649","19.09"
"18","INDIA         ","  623"," 8.31"
"19","NEW ZEALAND   ","  592","22.77"
"20","ARGENTINA     ","  576","16.94"
"21","SOUTH AFRICA  ","  569","19.62"
"22","TURKEY        ","  470","13.82"
"23","IRAN          ","  421"," 8.96"
"24","DENMARK       ","  403","36.64"
"25","JAPAN         ","  333","11.48"
"26","NORWAY        ","  317","21.13"
"27","KENYA         ","  294","29.40"
"28","NIGERIA       ","  279","12.68"
"29","ISRAEL        ","  275","11.96"
"30","KOREA         ","  239","14.94"
"31","GEORGIA       ","  217","27.12"
"32","AUSTRIA       ","  191","10.05"
"33","INDONESIA     ","  181","30.17"
"34","ICELAND       ","  178","22.25"
"35","URUGUAY       ","  175","35.00"
"36","CZECH REPUBLIC","  172"," 5.55"
"37","FINLAND       ","  156","13.00"
"38","IRELAND       ","  151","15.10"
"39","ETHIOPIA      ","  146"," 9.12"
"40","SINGAPORE     ","  126","15.75"
"41","RUSSIA        ","  114"," 5.70"
"42","PORTUGAL      ","   87"," 9.67"
"43","TAIWAN        ","   86","17.20"
"44","MOROCCO       ","   85","21.25"
"45","POLAND        ","   84"," 4.42"
"46","LITHUANIA     ","   83","16.60"
"47","CHILE         ","   81","11.57"
"48","VIETNAM       ","   78"," 9.75"
"49","NIGER         ","   77","38.50"
"50","BURKINA FASO  ","   64","16.00"
