"","Country     ","Total Citations","Average Article Citations"
"1","USA           ","32152","42.31"
"2","CHINA         "," 5367","12.69"
"3","FRANCE        "," 4803","31.81"
"4","SPAIN         "," 4538","23.27"
"5","CANADA        "," 4499","34.34"
"6","ENGLAND       "," 4343","35.89"
"7","GERMANY       "," 2709","16.42"
"8","AUSTRALIA     "," 2068","19.15"
"9","BELGIUM       "," 1750","30.70"
"10","BRAZIL        "," 1539","16.03"
"11","NETHERLANDS   "," 1439","42.32"
"12","ITALY         "," 1378","20.57"
"13","SWITZERLAND   ","  912","21.21"
"14","WALES         ","  824","43.37"
"15","SCOTLAND      ","  763","40.16"
"16","SWEDEN        ","  696","33.14"
"17","MEXICO        ","  647","19.61"
"18","INDIA         ","  628"," 8.37"
"19","ARGENTINA     ","  577","16.97"
"20","NEW ZEALAND   ","  575","23.96"
"21","SOUTH AFRICA  ","  570","19.66"
"22","TURKEY        ","  472","13.88"
"23","IRAN          ","  425"," 9.04"
"24","DENMARK       ","  404","36.73"
"25","JAPAN         ","  351","11.70"
"26","NORWAY        ","  318","21.20"
"27","KENYA         ","  295","29.50"
"28","NIGERIA       ","  283","12.30"
"29","ISRAEL        ","  275","11.96"
"30","KOREA         ","  239","15.93"
"31","GEORGIA       ","  217","27.12"
"32","AUSTRIA       ","  193","10.16"
"33","INDONESIA     ","  181","30.17"
"34","ICELAND       ","  179","22.38"
"35","URUGUAY       ","  175","35.00"
"36","CZECH REPUBLIC","  173"," 5.58"
"37","FINLAND       ","  157","13.08"
"38","IRELAND       ","  151","15.10"
"39","ETHIOPIA      ","  147"," 9.19"
"40","SINGAPORE     ","  126","15.75"
"41","RUSSIA        ","  120"," 5.71"
"42","PORTUGAL      ","   87"," 9.67"
"43","TAIWAN        ","   87","17.40"
"44","MOROCCO       ","   85","21.25"
"45","POLAND        ","   85"," 4.25"
"46","LITHUANIA     ","   83","16.60"
"47","CHILE         ","   81","11.57"
"48","VIETNAM       ","   78"," 9.75"
"49","NIGER         ","   77","38.50"
"50","BURKINA FASO  ","   64","16.00"
