Articles,Freq,Group
1,0.344071965,Theoretical
2,0.086017991,Theoretical
3,0.038230218,Theoretical
4,0.021504498,Theoretical
5,0.013762879,Theoretical
6,0.009557555,Theoretical
7,0.007021877,Theoretical
8,0.005376124,Theoretical
9,0.004247802,Theoretical
10,0.00344072,Theoretical
11,0.00284357,Theoretical
12,0.002389389,Theoretical
13,0.002035929,Theoretical
14,0.001755469,Theoretical
15,0.001529209,Theoretical
16,0.001344031,Theoretical
17,0.00119056,Theoretical
18,0.001061951,Theoretical
19,0.000953108,Theoretical
20,0.00086018,Theoretical
22,0.000710892,Theoretical
25,0.000550515,Theoretical
28,0.000438867,Theoretical
30,0.000382302,Theoretical
31,0.000358035,Theoretical
38,0.000238277,Theoretical
114,2.65E-05,Theoretical
1,0.764667394,Observed
2,0.134133043,Observed
3,0.046346783,Observed
4,0.020065431,Observed
5,0.010359869,Observed
6,0.00610687,Observed
7,0.005452563,Observed
8,0.002508179,Observed
9,0.002181025,Observed
10,0.00174482,Observed
11,0.002181025,Observed
12,0.001090513,Observed
13,0.000327154,Observed
14,0.000436205,Observed
15,0.000218103,Observed
16,0.000436205,Observed
17,0.000109051,Observed
18,0.000109051,Observed
19,0.000327154,Observed
20,0.000327154,Observed
22,0.000109051,Observed
25,0.000109051,Observed
28,0.000109051,Observed
30,0.000109051,Observed
31,0.000109051,Observed
38,0.000218103,Observed
114,0.000109051,Observed
