id	x	y	cluster	weight<Links>	weight<Total link strength>
1	0.0179	-0.1064	1	41	243
2	-0.0805	0.2502	1	14	22
3	-0.8834	-0.2499	3	5	5
4	-0.3859	-0.1433	1	61	431
5	0.3945	-0.0308	1	29	105
6	-0.0313	0.4363	1	55	269
7	-0.2805	-0.1569	3	37	143
8	0.1581	0.5309	1	44	231
9	0.2375	0.511	1	11	11
10	-0.2078	-0.2576	1	41	168
11	-0.0291	0.3796	1	17	31
12	-0.1697	0.5394	1	27	82
13	0.764	-0.3676	2	51	206
14	0.0531	0.2557	1	34	111
15	-0.4684	0.1736	1	31	129
16	-0.4992	-0.0756	3	34	171
17	0.3363	-0.0687	8	22	43
18	0.0786	0.0935	5	24	44
19	0.863	0.1331	1	5	8
20	0.3699	0.1201	1	19	34
21	0.2558	0.4097	1	27	51
22	-0.0534	0.225	6	32	92
23	0.2177	0.6024	6	4	4
24	-0.1295	-0.1702	4	33	103
25	1.3016	-0.6883	2	1	2
26	0.2648	-0.3298	4	8	12
27	0.2888	-0.0796	8	9	13
28	-0.9253	-0.3156	3	12	19
29	-0.8766	-0.341	3	4	4
30	-0.6022	-0.3034	3	12	33
31	-0.3086	0.6344	1	6	6
32	1.3023	-0.2053	2	5	7
33	-0.3326	-0.8155	7	16	39
34	1.1419	-0.1223	2	19	46
35	1.1873	-0.1677	2	5	12
36	0.1387	0.2976	6	3	3
37	-0.2825	0.333	1	13	26
38	0.1818	-0.0984	5	3	3
39	-0.0125	0.0739	5	22	45
40	0.4623	-0.2165	4	14	24
41	0.4656	-0.2935	4	3	3
42	0.2049	0.5594	1	9	13
43	-0.4332	-0.3009	1	34	110
44	-0.1986	0.3463	1	11	15
45	0.152	-0.4991	4	7	9
46	0.3435	-0.2915	4	25	49
47	0.3703	-0.4058	4	3	3
48	0.54	-0.1148	8	3	3
49	-0.3986	0.3302	1	18	57
50	-0.3967	0.3719	1	7	13
51	-0.3502	0.5518	9	17	43
52	0.4072	0.1132	1	8	15
53	0.4947	-0.0801	8	12	23
54	1.2876	-0.7086	2	1	5
China	0.6165	-0.1691	4	6	9
56	0.4213	0.2882	1	7	9
57	0.1	0.1014	5	1	1
58	0.309	-0.5851	2	9	13
59	0.4515	-0.6481	2	3	7
60	1.2727	-0.1303	2	1	1
61	-1.56	-0.027	10	6	7
62	-1.5846	-0.029	10	2	2
63	-0.1431	0.195	1	13	19
65	0.1808	-0.4909	4	4	4
66	-0.8439	0.5092	1	3	3
67	-0.0747	1.2383	1	1	1
68	-0.4105	0.6422	9	1	1
69	-0.5464	-1.2194	7	1	1
72	-0.3895	0.2009	3	7	12
73	0.2953	0.3443	1	15	20
74	-0.4492	-1.0242	7	8	14
75	-0.8708	-0.2234	3	7	7
76	-0.5374	-1.197	7	6	8
77	-0.1413	0.3427	6	2	4
78	0.2607	0.5273	1	2	2
79	0.3927	1.1781	1	1	1
80	-0.1232	1.2351	1	1	1
81	0.1531	0.2472	6	16	17
82	0.04	0.0869	5	2	2
83	-0.0836	0.024	5	4	4
85	1.4188	-0.2522	2	6	7
86	0.1107	-0.7173	3	4	4
87	-0.94	-0.1121	3	1	1
88	-0.8748	-0.2291	3	2	2
89	-0.2281	0.7385	1	1	1
90	0.2025	1.2138	1	2	2
91	-0.08	0.1637	5	11	12
92	-0.7267	0.137	4	5	5
93	-0.7266	0.1361	4	5	5
95	1.4499	-0.2642	2	4	5
96	1.4543	-0.2657	2	3	3
98	-0.7605	-0.5741	1	2	2
99	-0.3825	-0.5824	1	1	1
100	-1.6231	-0.7418	1	1	1
101	-0.9746	-0.3349	3	1	1
