folder,pop,picname,Body_weight(g),Total_length(mm),Standard_length(mm),cal
CWLZ,CWLZ,170513013_L,246.3,307.2,253.7,386
CWLZ,CWLZ,170513015_L,142.6,266.6,212.4,386
CWLZ,CWLZ,170513024_R,102.5,235.1,185.2,386
CWLZ,CWLZ,170513025_L,146.7,253.9,208.6,386
CWLZ,CWLZ,170513026_L,105.6,245.9,193.7,386
CWLZ,CWLZ,170513028_L,105.8,238.8,191.1,386
CWLZ,CWLZ,170513029_L,56.6,186.5,147.7,386
CWLZ,CWLZ,170513030_L,54.2,191.6,153.8,386
CWLZ,CWLZ,170513033_L,205.7,277.49,223.82,386
CWLZ,CWLZ,170513034_L,135.3,241.94,197.28,386
CWLZ,CWLZ,170513035_L,108.1,226.23,184.34,386
CWLZ,CWLZ,170513036_L,86.5,214.84,174.13,386
CWLZ,CWLZ,170513038_L,58.7,183.14,142.27,386
CWLZ,CWLZ,170513039_L,62.1,186.83,150.22,386
CWLZ,CWLZ,170513040_L,22.8,131.23,106.9,386
CWLZ,CWLZ,170513049_L,129.7,241.79,192.98,386
CWLZ,CWLZ,170513050_L,123.8,239.28,190.51,386
CWLZ,CWLZ,170513051_L,115,230,184.13,386
CWLZ,CWLZ,170513052_L,123.7,241.08,191.74,386
CWLZ,CWLZ,170513053_L,186.7,273,227.6,386
CWLZ,CWLZ,170513054_L,223.6,296.9,244.9,386
CWLZ,CWLZ,170513055_L,147.2,262.1,209.3,386
CWLZ,CWLZ,170513058_L,83,221.4,171.7,386
CWLZ,CWLZ,170513059_L,72.7,208.7,162.1,386
CWLZ,CWLZ,170513061_L,75,207.2,163.5,386
CWLZ,CWLZ,170513063_R,129.8,242.58,194.06,386
CWLZ,CWLZ,170513065_L,86.6,212.46,166.55,386
CWLZ,CWLZ,170513066_R,95.6,214.13,170.3,386
CWLZ,CWLZ,170513067_L,119.2,252.31,196.08,386
CWLZ,CWLZ,170513068_L,70.2,196.28,157.23,386
CWLZ,CWLZ,170513070_L,99.8,216.24,173.17,386
CWLZ,CWLZ,170513071_L,65.1,189.47,149.79,386
CWLZ,CWLZ,170513073_L,89.2,218.21,170.23,386
CWLZ,CWLZ,170513075_L,78.1,212.38,157.21,386
CWLZ,CWLZ,170513076_L,73.7,195.98,157.7,386
CWLZ,CWLZ,170513078_R,75.3,211.38,156.04,386
CWLZ,CWLZ,170513079_L,71.7,200.58,159.89,386
CWLZ,CWLZ,170513080_L,73.4,204.79,167.34,386
CWLZ,CWLZ,170513084_L,125.9,234.99,185.12,386
CWLZ,CWLZ,170513085_L,81.5,203.37,162.53,386
CWLZ,CWLZ,170513087_L,89.7,209.44,162.1,386
CWLZ,CWLZ,170513088_L,82.9,207.96,165.46,386
CWLZ,CWLZ,170513089_L,66.7,191.52,154.28,386
CWLZ,CWLZ,170513091_L,74.2,194.31,153.31,386
CWLZ,CWLZ,170513093_L,110.5,235.09,185.67,386
CWLZ,CWLZ,170513094_L,86.9,215.05,165.6,386
CWLZ,CWLZ,170513095_L,112.5,234.73,189.56,386
CWLZ,CWLZ,170513098_L,59.4,199.57,154.33,386
CWLZ,CWLZ,170513099_L,60.3,193.01,145.28,386
CWLZ,CWLZ,170513100_L,55.7,186.71,142.5,386
CWLZ,CWLZ,170513103_R,60.1,184.51,148.42,386
CWLZ,CWLZ,170513106_L,63.9,191.68,156.79,386
CWLZ,CWLZ,170513107_L,52.5,191.89,156.79,386
CWLZ,CWLZ,170513108_L,68.4,207.8,169.46,386
CWLZ,CWLZ,170513109_L,72.3,207.47,171.25,386
CWLZ,CWLZ,170513110_L,48.4,199.36,161.7,386
CWLZ,CWLZ,170513112_L,42,164.98,134.97,386
CWLZ,CWLZ,170513113_R,95.1,223.45,174.68,386
CWLZ,CWLZ,170513114_L,87.9,205.41,168.81,386
CWLZ,CWLZ,170513115_L,88.6,207.07,168.14,386
CWLZ,CWLZ,170513116_L,84.1,207.95,170.67,386
CWLZ,CWLZ,170513117_L,110.3,222.42,183.04,386
CWLZ,CWLZ,170513118_L,100.8,225.56,182.83,386
CWLZ,CWLZ,170513120_L,73.9,196.46,158.05,386
CWLZ,CWLZ,170513122_L,43.2,160.16,126.56,386
CWLZ,CWLZ,170513123_L,64.8,192.92,149.69,386
CWLZ,CWLZ,170513125_L,65.7,193.38,152.81,386
CWLZ,CWLZ,170513126_L,42.9,175.45,136.99,386
CWLZ,CWLZ,170513127_L,28.4,144.6,114.67,386
CWLZ,CWLZ,170513128_L,27.1,145.49,117.43,386
CWLZ,CWLZ,170513129_L,26,142.13,111.06,386
CWLZ,CWLZ,170513130_L,28,148.54,116.89,386
CWLZ,CWLZ,170513131_L,30.1,144.89,123.41,386
CWLZ,CWLZ,170513133_L,84.4,218.52,173.92,386
CWLZ,CWLZ,170513134_L,56.2,189,146.79,386
CWLZ,CWLZ,170513136_R,59.6,190.21,146.83,386
CWLZ,CWLZ,170513137_L,44.3,159.91,129.5,386
CWLZ,CWLZ,170513139_L,31.8,149.84,114.59,386
CWLZ,CWLZ,170513140_R,33,156.53,122.01,386
