folder,pop,picname,Body_weight(g),Total_length(mm),Standard_length(mm),cal
SPZ,SPZ,17050901_L,266.1,274.06,247.75,386
SPZ,SPZ,17050902_L,208.7,293.1,240.8,386
SPZ,SPZ,17050903_L,190.3,271.87,227.33,386
SPZ,SPZ,17050904_L,38.2,169.37,135.86,386
SPZ,SPZ,17050905_L,27,136.79,114.36,386
SPZ,SPZ,17050906_L,13.8,113.3,92.51,386
SPZ,SPZ,170509020_L,266.1,274.06,247.75,386
SPZ,SPZ,170509021_L,208.7,293.1,240.8,386
SPZ,SPZ,170509022_L,190.3,271.87,227.33,386
SPZ,SPZ,170509023_L,38.2,169.37,135.86,386
SPZ,SPZ,170509024_L,27,136.79,114.36,386
SPZ,SPZ,170509025_L,13.8,113.3,92.51,386
