"","folder","pop","picname","Body_weight.g.","Total_length.mm.","Standard_length.mm.","cal"
"1","BZLZ","BZLZ","17051001_L",49.7,180.26,145.62,386
"2","BZLZ","BZLZ","17051002_R",13.3,113.28,94.77,386
"3","BZLZ","BZLZ","17051003_L",11,107.27,86.45,386
"4","BZLZ","BZLZ","17051004_L",9.7,102.38,81.57,386
"5","BZLZ","BZLZ","17051101_L",425.6,361.2,294.6,386
"6","BZLZ","BZLZ","17051102_L",335.9,342.26,277.14,386
"7","BZLZ","BZLZ","17051103_L",557.1,399.47,330.47,386
"8","BZLZ","BZLZ","17051104_L",1648.9,528.02,449.97,386
"9","BZLZ","BZLZ","17051105_L",1230.8,507.56,420.74,386
"10","BZLZ","BZLZ","17051106_L",1334.6,506.03,416.84,386
"11","BZLZ","BZLZ","17051108_L",241.2,306.85,240.66,386
"12","BZLZ","BZLZ","17051109_R",275.6,331.63,260.29,386
"13","BZLZ","BZLZ","17051110_L",62.6,195.86,159.25,386
"14","BZLZ","BZLZ","17051115_L",769.3,NA,356.49,386
"15","BZLZ","BZLZ","17051116_L",322.7,NA,275.46,386
"16","BZLZ","BZLZ","17051117_R",389.5,NA,282.3,386
"17","BZLZ","BZLZ","17051118_L",NA,NA,230.45,386
"18","BZLZ","BZLZ","17051119_R",110.2,NA,193.87,386
"19","BZLZ","BZLZ","17051120_L",127.2,NA,194.55,386
"20","BZLZ","BZLZ","17051121_L",92.1,NA,179.55,386
"21","BZLZ","BZLZ","17051122_L",102.3,NA,185.37,386
"22","BZLZ","BZLZ","17051123_L",73.7,NA,162.1,386
"23","BZLZ","BZLZ","17051124_L",74.1,NA,166.38,386
"24","BZLZ","BZLZ","17051125_R",54,NA,153.1,386
"25","BZLZ","BZLZ","17051126_L",28.7,NA,118.95,386
"26","BZLZ","BZLZ","17051127_L",35.8,NA,125.78,386
"27","BZLZ","BZLZ","17051128_L",29.6,NA,120.16,386
"28","BZLZ","BZLZ","17051129_L",16.4,NA,96.33,386
"29","BZLZ","BZLZ","17051130_L",27.4,NA,116.33,386
"30","BZLZ","BZLZ","17051131_L",20.4,NA,105.42,386
"31","BZLZ","BZLZ","17051132_L",14.4,NA,95.32,386
"32","BZLZ","BZLZ","17051133_L",10.5,NA,88.33,386
"33","BZLZ","BZLZ","17051134_L",14.8,NA,101.75,386
"34","BZLZ","BZLZ","17051135_L",10.7,NA,87.69,386
"35","BZLZ","BZLZ","17051136_L",13.3,NA,98.58,386
"36","BZLZ","BZLZ","17051201_L",13.2,116.13,93.81,386
