Site,ID,standard.length,relative.otolith.area,relative.otolith.length,relative.otolith.width,relative.otolith.perimeter,Aspect ratio,Rectangularity,Roundness,Form factor,Ellipticity,Circularity,Altitude,Average river gradient,Latitude,Annual average temperature
BZLZ,17051001,145.62,1.448746437,1.613479915,1.180479879,4.459549922,1.366800014,0.760624357,0.708557945,0.915419554,0.154977189,13.72744395,1500,4.2857,28,12.1
BZLZ,17051002,94.77,1.325692342,1.540319827,1.113516328,4.272188079,1.383293436,0.772921258,0.711428165,0.912750089,0.160825113,13.76759177,1500,4.2857,28,12.1
BZLZ,17051003,86.45,1.427447609,1.558455479,1.156316845,4.452113233,1.34777547,0.792116254,0.748309909,0.904977202,0.148129783,13.88584219,1500,4.2857,28,12.1
BZLZ,17051004,81.57,1.56477072,1.574368072,1.295566999,4.635577773,1.215196183,0.767157544,0.803800519,0.915066869,0.097145429,13.73273478,1500,4.2857,28,12.1
BZLZ,17051101,294.6,1.416943915,1.598625531,1.172407809,4.451574078,1.363540501,0.756009431,0.705942437,0.898535655,0.153811835,13.98538895,1500,4.2857,28,12.1
BZLZ,17051102,277.14,1.175938266,1.469342359,1.03213951,4.097572779,1.423588909,0.775395223,0.693503479,0.880118267,0.174777541,14.27804772,1500,4.2857,28,12.1
BZLZ,17051103,330.47,1.018997545,1.317054179,0.986368808,3.737232246,1.3352553,0.784386602,0.74795587,0.916817357,0.14356259,13.70651473,1500,4.2857,28,12.1
BZLZ,17051104,449.97,1.22849059,1.444142804,1.080146861,4.114001027,1.336987456,0.78755136,0.750000705,0.912121949,0.144197375,13.77707293,1500,4.2857,28,12.1
BZLZ,17051105,420.74,1.280514482,1.57456261,1.100551595,4.356798098,1.430703128,0.738948467,0.657619594,0.847733781,0.177192814,14.82348691,1500,4.2857,28,12.1
BZLZ,17051106,416.84,1.429380108,1.45928693,1.294026054,4.439307174,1.127710625,0.75694447,0.85462672,0.911438154,0.060022554,13.78740901,1500,4.2857,28,12.1
BZLZ,17051108,240.66,1.26798765,1.38220737,1.152385866,4.167960271,1.199431033,0.796056506,0.845042854,0.917228935,0.09067392,13.70036437,1500,4.2857,28,12.1
BZLZ,17051109,260.29,1.485544322,1.573841269,1.217251682,4.588566196,1.292946473,0.775433039,0.763613986,0.886628067,0.127759839,14.17321545,1500,4.2857,28,12.1
BZLZ,17051110,159.25,1.491152719,1.624233659,1.205743155,4.721300094,1.34708097,0.761410416,0.719673036,0.840637534,0.147877715,14.94861948,1500,4.2857,28,12.1
BZLZ,17051115,356.49,1.256013742,1.487359404,1.081273836,4.207847578,1.375562188,0.780985144,0.722890741,0.891423862,0.158094025,14.09696459,1500,4.2857,28,12.1
BZLZ,17051116,275.46,1.511991262,1.513170829,1.311213983,4.595713552,1.154022798,0.762057513,0.840782143,0.899607862,0.07150472,13.96872031,1500,4.2857,28,12.1
BZLZ,17051117,282.3,1.4081394,1.536351884,1.198124235,4.441295203,1.282297644,0.764985318,0.759581492,0.897090449,0.123690109,14.0079193,1500,4.2857,28,12.1
BZLZ,17051118,230.45,1.444794234,1.577575191,1.219449184,4.429590195,1.2936785,0.751021248,0.739155789,0.925313217,0.128038215,13.58066694,1500,4.2857,28,12.1
BZLZ,17051119,193.87,1.269812498,1.600664782,1.101961688,4.310903873,1.452559376,0.719900893,0.631028445,0.858643296,0.18452535,14.63514671,1500,4.2857,28,12.1
BZLZ,17051120,194.55,1.453364977,1.523250038,1.242812723,4.444784363,1.225647284,0.767711069,0.797521526,0.924449436,0.101385015,13.59335635,1500,4.2857,28,12.1
BZLZ,17051121,179.55,1.309137576,1.376861509,1.184169865,4.203955097,1.162722976,0.802936175,0.879255085,0.930848526,0.075239861,13.49990924,1500,4.2857,28,12.1
BZLZ,17051122,185.37,1.530185111,1.568541862,1.264805059,4.606195545,1.240145152,0.771301656,0.791884537,0.906293977,0.10720071,13.86566713,1500,4.2857,28,12.1
BZLZ,17051123,162.1,1.512232651,1.518144253,1.280308279,4.576389331,1.185764615,0.778020458,0.835415733,0.907366092,0.08498839,13.8492839,1500,4.2857,28,12.1
BZLZ,17051124,166.38,1.65258599,1.660802446,1.236578617,4.804219996,1.343062562,0.804682133,0.76284839,0.899763057,0.146416305,13.96631093,1500,4.2857,28,12.1
BZLZ,17051125,153.1,1.391242967,1.636462697,1.150967448,4.429483382,1.421814926,0.738641715,0.661455878,0.891059475,0.174173064,14.10272936,1500,4.2857,28,12.1
BZLZ,17051126,118.95,1.46689238,1.638200667,1.191280531,4.580136036,1.375159439,0.751652506,0.695943807,0.878721721,0.157951266,14.30073971,1500,4.2857,28,12.1
BZLZ,17051127,125.78,1.37622019,1.528833496,1.207382498,4.357315057,1.266237914,0.745560446,0.749683004,0.910877267,0.117480125,13.79589883,1500,4.2857,28,12.1
BZLZ,17051128,120.16,1.388814865,1.48532314,1.199624671,4.41482625,1.238156547,0.77943162,0.80151671,0.895420407,0.106407457,14.03404536,1500,4.2857,28,12.1
BZLZ,17051129,96.33,1.338818214,1.580294251,1.125101534,4.338856259,1.404579234,0.752994727,0.682583538,0.893677761,0.168253651,14.06141135,1500,4.2857,28,12.1
BZLZ,17051130,116.33,1.208797313,1.440100714,1.109646418,4.123682248,1.297801435,0.756442645,0.742126386,0.893291011,0.129602772,14.06749924,1500,4.2857,28,12.1
BZLZ,17051131,105.42,1.19079192,1.4628096,1.102551888,4.125028674,1.326748987,0.738327492,0.708549823,0.87941081,0.140431559,14.28953394,1500,4.2857,28,12.1
BZLZ,17051132,95.32,1.327373753,1.45543963,1.172935033,4.297955891,1.240852723,0.777544174,0.797838432,0.902982184,0.107482621,13.9165211,1500,4.2857,28,12.1
BZLZ,17051133,88.33,1.380253661,1.598702116,1.130896152,4.465293865,1.413659524,0.763428962,0.687596927,0.869898698,0.171382716,14.44578621,1500,4.2857,28,12.1
BZLZ,17051134,101.75,1.350911318,1.490455637,1.168036173,4.378675802,1.276035513,0.775981725,0.774281444,0.885423658,0.121279089,14.19249474,1500,4.2857,28,12.1
BZLZ,17051135,87.69,1.340648778,1.465093471,1.191714441,4.322643514,1.22939978,0.767851932,0.795233138,0.901625194,0.102897552,13.93746614,1500,4.2857,28,12.1
BZLZ,17051136,98.58,1.261819766,1.498330514,1.086336255,4.207667024,1.379251136,0.775220821,0.715636028,0.895621399,0.159399372,14.0308959,1500,4.2857,28,12.1
BZLZ,17051201,93.81,1.444889145,1.5482731,1.172330892,4.470801668,1.320679264,0.796043409,0.767448975,0.908392592,0.138183363,13.83363397,1500,4.2857,28,12.1
BZLZ,17051206,125.43,1.748643494,1.654959504,1.354784987,4.948193893,1.221566167,0.779908278,0.812899118,0.897465417,0.099734219,14.00206668,1500,4.2857,28,12.1
BZLZ,17051264,107.75,1.560305821,1.676901137,1.181291816,4.843966262,1.419548594,0.787671396,0.706488227,0.835636446,0.173399532,15.03808345,1500,4.2857,28,12.1
BZLZ,17051268,107.75,1.346846754,1.465582212,1.165113379,4.359634314,1.257888063,0.788750794,0.798376844,0.890487697,0.114216496,14.11178465,1500,4.2857,28,11.9
