Loo	K	To
17.8	0.19	NA
18.1	0.5	-0.18
18.5	0.63	NA
19	0.59	NA
19	0.44	-0.78
20	0.82	NA
20	0.44	NA
23.6	0.18	-3.01
24	0.2	NA
24	0.26	NA
24	0.45	NA
24.3	0.57	NA
24.3	0.15	-3.31
27	0.7	NA
27.5	0.5	NA
27.6	0.15	-2.64
20	0.57	NA
20.5	0.5	-0.04
20.5	0.4	NA
20.6	0.7	NA
21.1	1.09	NA
21.5	0.27	NA
22.1	0.23	-1.81
24.5	0.6	NA
24.5	0.14	NA
24.5	0.27	-1.85
24.7	0.15	NA
24.7	0.15	-3.21
24.8	0.29	NA
28.3	0.17	NA
28.6	0.15	NA
29	0.6	-0.1
22.4	0.28	-1.98
22.5	0.22	NA
22.5	0.56	NA
22.7	0.25	-1.13
23	0.64	NA
23.1	0.51	NA
23.5	0.51	-0.86
25.4	0.21	NA
25.5	0.21	-2.13
26	0.41	-0.4
26.1	0.13	-3.54
26.5	0.16	-2.7
26.6	0.18	-2.49
29.1	0.41	-0.39
29.7	0.21	NA
31.6	0.11	-2.87
