Abbreviation,Number,BW,TL,SL
BZLZ,17051001,49.7,180.26,145.62
BZLZ,17051002,13.3,113.28,94.77
BZLZ,17051003,11,107.27,86.45
BZLZ,17051004,9.7,102.38,81.57
BZLZ,17051005,5.9,84.42,67
BZLZ,17051006,3.9,75.6,60.5
BZLZ,17051007,3.2,71.93,57.22
BZLZ,17051008,1.9,59.37,45.08
BZLZ,17051009,2,62.3,49
BZLZ,17051010,1.4,59.4,44.9
BZLZ,17051011,1.8,58.1,46.2
BZLZ,17051012,0.529,39.5,32.1
BZLZ,17051013,1.2,51.7,40.8
BZLZ,17051014,1.1,49.4,40.3
BZLZ,17051015,0.511,39.2,31.2
BZLZ,17051016,0.371,36.8,30.4
BZLZ,17051017,0.728,43.7,34.5
BZLZ,17051018,0.46,39,31.6
BZLZ,17051019,1.14,53.4,42.2
BZLZ,17051020,1.11,51.8,40.7
BZLZ,17051021,0.41,35.6,28.8
BZLZ,17051022,0.47,37.2,31
BZLZ,17051023,0.48,39.3,31.1
BZLZ,17051024,0.42,37.5,29.8
BZLZ,17051025,0.25,32.4,27.3
BZLZ,17051026,0.25,32.6,26.1
BZLZ,17051027,0.56,40.1,32.3
BZLZ,17051101,425.6,361.2,294.6
BZLZ,17051102,335.9,342.26,277.14
BZLZ,17051103,557.1,399.47,330.47
BZLZ,17051104,1648.9,528.02,449.97
BZLZ,17051105,1230.8,507.56,420.74
BZLZ,17051106,1334.6,506.03,416.84
BZLZ,17051107,305.9,338.35,266.82
BZLZ,17051108,241.2,306.85,240.66
BZLZ,17051109,275.6,331.63,260.29
BZLZ,17051110,62.6,195.86,159.25
BZLZ,17051114,781.2,391.5,341.49
BZLZ,17051115,769.3,389.53,356.49
BZLZ,17051116,322.7,292.82,275.46
BZLZ,17051117,389.5,311.49,282.3
BZLZ,17051119,110.2,205.74,193.87
BZLZ,17051120,127.2,215.68,194.55
BZLZ,17051121,92.1,193.96,179.55
BZLZ,17051122,102.3,200.77,185.37
BZLZ,17051123,73.7,180.27,162.1
BZLZ,17051124,74.1,180.59,166.38
BZLZ,17051125,54,162.76,153.1
BZLZ,17051126,28.7,132.25,118.95
BZLZ,17051127,35.8,142.21,125.78
BZLZ,17051128,29.6,133.6,120.16
BZLZ,17051129,16.4,110.04,96.33
BZLZ,17051130,27.4,130.25,116.33
BZLZ,17051131,20.4,118.22,105.42
BZLZ,17051132,14.4,105.44,95.32
BZLZ,17051133,10.5,95.04,88.33
BZLZ,17051134,14.8,106.39,101.75
BZLZ,17051135,10.7,95.64,87.69
BZLZ,17051136,13.3,102.72,98.58
BZLZ,17051137,12.4,100.38,89.46
BZLZ,17051138,3,62.98,56.67
BZLZ,17051201,13.2,116.13,93.81
BZLZ,17051206,34.6,152.07,125.43
BZLZ,17051252,0.758,40.08,37.69
BZLZ,17051253,0.404,32.6,30.7
BZLZ,17051254,0.372,31.72,27.97
BZLZ,17051255,0.873,41.99,38.15
BZLZ,17051256,0.415,32.89,31.11
BZLZ,17051257,0.874,42,36.35
BZLZ,17051258,0.505,35.08,31.34
BZLZ,17051259,0.355,31.24,26.75
BZLZ,17051264,18.1,113.66,107.75
BZLZ,17051265,5,74.49,67.9
BZLZ,17051266,3.4,65.62,62.25
BZLZ,17051267,3.9,68.65,60.74
BZLZ,17051268,1.7,52.26,47.35
CWLZ,17051313,246.3,307.2,253.7
CWLZ,17051314,215.6,296.8,232.6
CWLZ,17051315,142.6,266.6,212.4
CWLZ,17051316,156,277.4,216.3
CWLZ,17051317,161.6,271.9,218.9
CWLZ,17051318,128,265.1,211.9
CWLZ,17051319,161.9,269.5,215.1
CWLZ,17051320,122,248.6,199.5
CWLZ,17051321,115.8,254.6,203.4
CWLZ,17051322,114.2,240.6,195.2
CWLZ,17051323,184.5,273.2,223.9
CWLZ,17051324,102.5,235.1,185.2
CWLZ,17051325,146.7,253.9,208.6
CWLZ,17051326,105.6,245.9,193.7
CWLZ,17051327,118.2,253.3,200.3
CWLZ,17051328,105.8,238.8,191.1
CWLZ,17051329,56.6,186.5,147.7
CWLZ,17051330,54.2,191.6,153.8
CWLZ,17051331,52.7,182.8,145.6
CWLZ,17051332,38.8,159.3,127.6
CWLZ,17051333,205.7,277.49,223.82
CWLZ,17051334,135.3,241.94,197.28
CWLZ,17051335,108.1,226.23,184.34
CWLZ,17051336,86.5,214.84,174.13
CWLZ,17051337,75.1,207.96,158.79
CWLZ,17051338,58.7,183.14,142.27
CWLZ,17051339,62.1,186.83,150.22
CWLZ,17051340,22.8,131.23,106.9
CWLZ,17051341,34.4,152.4,121.2
CWLZ,17051342,20.1,127.57,101.01
CWLZ,17051343,425.7,378.53,296.35
CWLZ,17051344,401.9,363.2,291.51
CWLZ,17051345,219.2,299.63,237.99
CWLZ,17051346,224.2,298.46,233.69
CWLZ,17051347,172,276.53,217.61
CWLZ,17051348,188.6,284.87,227.22
CWLZ,17051349,129.7,241.79,192.98
CWLZ,17051350,123.8,239.28,190.51
CWLZ,17051351,115,230,184.13
CWLZ,17051352,123.7,241.08,191.74
CWLZ,17051353,186.7,273,227.6
CWLZ,17051354,223.6,296.9,244.9
CWLZ,17051355,147.2,262.1,209.3
CWLZ,17051356,130.2,232.7,190.6
CWLZ,17051357,97.9,219.3,177.9
CWLZ,17051358,83,221.4,171.7
CWLZ,17051359,72.7,208.7,162.1
CWLZ,17051360,79.5,212.6,172.2
CWLZ,17051361,75,207.2,163.5
CWLZ,17051362,63.7,199.6,158.2
CWLZ,17051363,129.8,242.58,194.06
CWLZ,17051364,105.3,226.87,182.76
CWLZ,17051365,86.6,212.46,166.55
CWLZ,17051366,95.6,214.13,170.3
CWLZ,17051367,119.2,252.31,196.08
CWLZ,17051368,70.2,196.28,157.23
CWLZ,17051369,81.9,216.73,173.6
CWLZ,17051370,99.8,216.24,173.17
CWLZ,17051371,65.1,189.47,149.79
CWLZ,17051372,41.9,171.02,134.22
CWLZ,17051373,89.2,218.21,170.23
CWLZ,17051374,78.3,202.96,156.03
CWLZ,17051375,78.1,212.38,157.21
CWLZ,17051376,73.7,195.98,157.7
CWLZ,17051377,78.9,205.27,158.39
CWLZ,17051378,75.3,211.38,156.04
CWLZ,17051379,71.7,200.58,159.89
CWLZ,17051380,73.4,204.79,167.34
CWLZ,17051381,56.1,188.56,146.22
CWLZ,17051382,55.4,179.52,140.6
CWLZ,17051383,87.9,216.48,170.95
CWLZ,17051384,125.9,234.99,185.12
CWLZ,17051385,81.5,203.37,162.53
CWLZ,17051386,131.7,242.13,194.76
CWLZ,17051387,89.7,209.44,162.1
CWLZ,17051388,82.9,207.96,165.46
CWLZ,17051389,66.7,191.52,154.28
CWLZ,17051390,72.1,207.98,156.65
CWLZ,17051391,74.2,194.31,153.31
CWLZ,17051392,82,209.97,161.77
CWLZ,17051393,110.5,235.09,185.67
CWLZ,17051394,86.9,215.05,165.6
CWLZ,17051395,112.5,234.73,189.56
CWLZ,17051396,56.7,182.27,141.88
CWLZ,17051397,84.6,216.95,162.72
CWLZ,17051398,59.4,199.57,154.33
CWLZ,17051399,60.3,193.01,145.28
CWLZ,170513100,55.7,186.71,142.5
CWLZ,170513101,38.1,162.91,127.84
CWLZ,170513102,22.4,136.43,110.62
CWLZ,170513103,60.1,184.51,148.42
CWLZ,170513104,72.6,190.23,148.58
CWLZ,170513105,53.2,181.17,139.4
CWLZ,170513106,63.9,191.68,156.79
CWLZ,170513107,52.5,191.89,156.79
CWLZ,170513108,68.4,207.8,169.46
CWLZ,170513109,72.3,207.47,171.25
CWLZ,170513110,48.4,199.36,161.7
CWLZ,170513111,58.2,184.78,143.14
CWLZ,170513112,42,164.98,134.97
CWLZ,170513113,95.1,223.45,174.68
CWLZ,170513114,87.9,205.41,168.81
CWLZ,170513115,88.6,207.07,168.14
CWLZ,170513116,84.1,207.95,170.67
CWLZ,170513117,110.3,222.42,183.04
CWLZ,170513118,100.8,225.56,182.83
CWLZ,170513119,65.1,186.34,148.73
CWLZ,170513120,73.9,196.46,158.05
CWLZ,170513121,58.4,183.04,146.68
CWLZ,170513122,43.2,160.16,126.56
CWLZ,170513123,64.8,192.92,149.69
CWLZ,170513124,58.5,194.38,149.84
CWLZ,170513125,65.7,193.38,152.81
CWLZ,170513126,42.9,175.45,136.99
CWLZ,170513127,28.4,144.6,114.67
CWLZ,170513128,27.1,145.49,117.43
CWLZ,170513129,26,142.13,111.06
CWLZ,170513130,28,148.54,116.89
CWLZ,170513131,30.1,144.89,123.41
CWLZ,170513132,32.3,160.65,127.92
CWLZ,170513133,84.4,218.52,173.92
CWLZ,170513134,56.2,189,146.79
CWLZ,170513135,71.6,198.14,154.03
CWLZ,170513136,59.6,190.21,146.83
