folder,pop,picname,Body_weight(g),Total_length(mm),Standard_length(mm),cal
All,All,17051001_L,49.7,180.26,145.62,386
All,All,17051002_R,13.3,113.28,94.77,386
All,All,17051003_L,11,107.27,86.45,386
All,All,17051004_L,9.7,102.38,81.57,386
All,All,17051101_L,425.6,361.2,294.6,386
All,All,17051102_L,335.9,342.26,277.14,386
All,All,17051103_L,557.1,399.47,330.47,386
All,All,17051104_L,1648.9,528.02,449.97,386
All,All,17051105_L,1230.8,507.56,420.74,386
All,All,17051106_L,1334.6,506.03,416.84,386
All,All,17051108_L,241.2,306.85,240.66,386
All,All,17051109_R,275.6,331.63,260.29,386
All,All,17051110_L,62.6,195.86,159.25,386
All,All,17051115_L,769.3,NA,356.49,386
All,All,17051116_L,322.7,NA,275.46,386
All,All,17051117_R,389.5,NA,282.3,386
All,All,17051118_L,NA,NA,230.45,386
All,All,17051119_R,110.2,NA,193.87,386
All,All,17051120_L,127.2,NA,194.55,386
All,All,17051121_L,92.1,NA,179.55,386
All,All,17051122_L,102.3,NA,185.37,386
All,All,17051123_L,73.7,NA,162.1,386
All,All,17051124_L,74.1,NA,166.38,386
All,All,17051125_R,54,NA,153.1,386
All,All,17051126_L,28.7,NA,118.95,386
All,All,17051127_L,35.8,NA,125.78,386
All,All,17051128_L,29.6,NA,120.16,386
All,All,17051129_L,16.4,NA,96.33,386
All,All,17051130_L,27.4,NA,116.33,386
All,All,17051131_L,20.4,NA,105.42,386
All,All,17051132_L,14.4,NA,95.32,386
All,All,17051133_L,10.5,NA,88.33,386
All,All,17051134_L,14.8,NA,101.75,386
All,All,17051135_L,10.7,NA,87.69,386
All,All,17051136_L,13.3,NA,98.58,386
All,All,17051201_L,13.2,116.13,93.81,386
All,All,17051206_L,34.6,152.07,125.43,386
All,All,17051264_L,18.1,NA,107.75,386
All,All,17051268_L,18.1,NA,107.75,386
All,All,170513013_L,246.3,307.2,253.7,386
All,All,170513015_L,142.6,266.6,212.4,386
All,All,170513024_R,102.5,235.1,185.2,386
All,All,170513025_L,146.7,253.9,208.6,386
All,All,170513026_L,105.6,245.9,193.7,386
All,All,170513028_L,105.8,238.8,191.1,386
All,All,170513029_L,56.6,186.5,147.7,386
All,All,170513030_L,54.2,191.6,153.8,386
All,All,170513033_L,205.7,277.49,223.82,386
All,All,170513034_L,135.3,241.94,197.28,386
All,All,170513035_L,108.1,226.23,184.34,386
All,All,170513036_L,86.5,214.84,174.13,386
All,All,170513038_L,58.7,183.14,142.27,386
All,All,170513039_L,62.1,186.83,150.22,386
All,All,170513040_L,22.8,131.23,106.9,386
All,All,170513049_L,129.7,241.79,192.98,386
All,All,170513050_L,123.8,239.28,190.51,386
All,All,170513051_L,115,230,184.13,386
All,All,170513052_L,123.7,241.08,191.74,386
All,All,170513053_L,186.7,273,227.6,386
All,All,170513054_L,223.6,296.9,244.9,386
All,All,170513055_L,147.2,262.1,209.3,386
All,All,170513058_L,83,221.4,171.7,386
All,All,170513059_L,72.7,208.7,162.1,386
All,All,170513061_L,75,207.2,163.5,386
All,All,170513063_R,129.8,242.58,194.06,386
All,All,170513065_L,86.6,212.46,166.55,386
All,All,170513066_R,95.6,214.13,170.3,386
All,All,170513067_L,119.2,252.31,196.08,386
All,All,170513068_L,70.2,196.28,157.23,386
All,All,170513070_L,99.8,216.24,173.17,386
All,All,170513071_L,65.1,189.47,149.79,386
All,All,170513073_L,89.2,218.21,170.23,386
All,All,170513075_L,78.1,212.38,157.21,386
All,All,170513076_L,73.7,195.98,157.7,386
All,All,170513078_R,75.3,211.38,156.04,386
