folder,pop,picname,Body_weight(g),Total_length(mm),Standard_length(mm),cal
LKZ,LKZ,170517024_L,48.2,175.09,144.94,386
LKZ,LKZ,170517025_R,39.3,163.09,132.25,386
LKZ,LKZ,170517027_L,34.5,153.17,125.1,386
LKZ,LKZ,170517028_R,40.7,162.63,132.17,386
LKZ,LKZ,170517029_R,31.7,155.44,126.54,386
LKZ,LKZ,170517030_L,28.6,149.7,123.35,386
LKZ,LKZ,170517031_R,23.3,146.82,115.73,386
LKZ,LKZ,170517032_R,19.7,130.68,105.76,386
LKZ,LKZ,170517033_R,18.1,126.23,103.34,386
LKZ,LKZ,170517034_L,139.5,250.87,198.51,386
LKZ,LKZ,170517035_L,155.3,261.21,215.63,386
LKZ,LKZ,170517036_L,139,254.28,212.95,386
LKZ,LKZ,170517037_L,91.2,209.76,172.98,386
LKZ,LKZ,170517038_R,72.7,210.15,170.35,386
LKZ,LKZ,170517039_L,61.7,188.78,150.25,386
LKZ,LKZ,170517040_L,27.6,138.57,111.29,386
LKZ,LKZ,170517041_L,28,147.83,115.99,386
LKZ,LKZ,170517042_L,19.5,130.7,111.05,386
LKZ,LKZ,170517043_L,19.7,130.34,104.92,386
LKZ,LKZ,170517044_L,29.6,143.44,117.76,386
LKZ,LKZ,170517045_L,20.9,125.44,105.81,386
LKZ,LKZ,170517046_L,21.1,130.86,100.66,386
LKZ,LKZ,170517047_R,19.4,132.24,102.73,386
LKZ,LKZ,170517048_L,21,119.97,105.81,386
LKZ,LKZ,170517049_L,20.8,128.05,105.1,386
LKZ,LKZ,170517050_R,25.5,133.04,112.02,386
LKZ,LKZ,170517051_L,22.1,137.29,114.48,386
LKZ,LKZ,170517052_L,18.7,132.9,110.44,386
LKZ,LKZ,170517053_L,18.1,127.27,103.54,386
LKZ,LKZ,170517054_L,90.8,220.65,182.23,386
LKZ,LKZ,170517055_R,37.6,159.67,131.29,386
LKZ,LKZ,170517056_L,32.6,155.01,129.36,386
LKZ,LKZ,170517057_L,35.3,166.63,131.07,386
LKZ,LKZ,170517058_L,29.7,151.67,121.68,386
LKZ,LKZ,170517059_L,18.8,128.19,104.45,386
LKZ,LKZ,170517060_L,17.6,126.62,102.1,386
LKZ,LKZ,170517061_L,23.1,129.58,106.35,386
LKZ,LKZ,170517062_L,62.7,191.47,156.56,386
LKZ,LKZ,170517063_L,33.1,156.01,120.23,386
LKZ,LKZ,170517064_L,26.6,139.94,110.87,386
LKZ,LKZ,170517065_L,52.2,174.54,140.34,386
LKZ,LKZ,170517066_L,43,169.79,132.45,386
LKZ,LKZ,170517067_L,42.7,157.29,128.88,386
LKZ,LKZ,170517068_L,23.9,132.09,107.85,386
LKZ,LKZ,170517069_L,28.3,139.38,115.35,386
LKZ,LKZ,170517070_L,20.4,120.49,97.24,386
LKZ,LKZ,170517071_L,26.1,132.17,105.28,386
LKZ,LKZ,170517072_R,19.3,116.63,90.5,386
LKZ,LKZ,170517073_L,22.6,130.65,101.8,386
LKZ,LKZ,170517074_L,42.8,148.36,123.14,386
LKZ,LKZ,170517075_L,32,139.4,114.37,386
LKZ,LKZ,170517076_L,19.7,119.88,95.27,386
LKZ,LKZ,170517077_L,21,125.1,97.96,386
LKZ,LKZ,170517078_L,14.6,105.68,83.27,386
LKZ,LKZ,170517079_R,14.6,112.48,94.1,386
LKZ,LKZ,170517080_L,17.8,117.18,101.95,386
LKZ,LKZ,170517081_R,20.4,128.5,105.38,386
LKZ,LKZ,170517082_L,20.7,128.9,106.91,386
LKZ,LKZ,170517083_R,20.1,125.2,104.43,386
LKZ,LKZ,170517084_L,21.6,124.28,106.24,386
LKZ,LKZ,170517085_L,19.4,131.69,106.12,386
LKZ,LKZ,170517086_L,19.1,112.12,90.3,386
LKZ,LKZ,170517087_L,20.5,121.57,96.65,386
LKZ,LKZ,170517088_R,12,105.28,80.43,386
LKZ,LKZ,170517089_L,16.9,111.88,93.55,386
LKZ,LKZ,170517090_R,19.2,116.11,91.28,386
LKZ,LKZ,170517092_L,18.8,113.45,94.61,386
LKZ,LKZ,170517093_L,17.1,105.86,92.51,386
LKZ,LKZ,170517094_L,21.7,115.61,98.71,386
LKZ,LKZ,170517095_R,21.2,126.77,101.08,386
LKZ,LKZ,170517096_L,26.5,142.65,108.04,386
LKZ,LKZ,20170914001_L,185.1,276.04,228.29,386
LKZ,LKZ,20170914002_L,129.3,240.98,199.89,386
LKZ,LKZ,20170914003_L,91,214.51,177.6,386
LKZ,LKZ,20170914004_L,70.5,203.89,162.83,386
LKZ,LKZ,20170914005_L,74.4,203.19,166.52,386
LKZ,LKZ,20170914006_L,58.9,194.41,158.05,386
LKZ,LKZ,20170914007_L,83.2,207.44,170.55,386
LKZ,LKZ,20170914008_L,48.1,175.72,143.74,386
LKZ,LKZ,20170914009_L,36.6,162.74,131.32,386
LKZ,LKZ,20170916001_L,190.1,289.32,227.72,386
LKZ,LKZ,20170916002_L,111,227.84,187.64,386
LKZ,LKZ,20170916003_R,114.6,243.77,192.95,386
LKZ,LKZ,20170916004_L,69.7,198.09,162.64,386
LKZ,LKZ,20170916005_L,61.3,192.93,150.97,386
LKZ,LKZ,20170916006_L,46.5,178.69,143.28,386
LKZ,LKZ,20170916007_L,4.5,80.7,64.48,386
