folder,pop,picname,Body_weight(g),Total_length(mm),Standard_length(mm),cal
TTZ,TTZ,170806001_L,454.8,377.61,307.61,386
TTZ,TTZ,170806002_L,142,246.08,203.16,386
TTZ,TTZ,170806003_L,161,262.12,213.38,386
TTZ,TTZ,170806004_L,85.9,209.79,173.85,386
TTZ,TTZ,170806005_L,72.5,206.18,165.1,386
TTZ,TTZ,170806006_L,62.5,180.74,146.33,386
TTZ,TTZ,170806007_L,72.4,201.42,167.06,386
TTZ,TTZ,170806008_L,43.4,165.56,133.9,386
TTZ,TTZ,170806009_L,45.8,170.18,141.76,386
TTZ,TTZ,170806010_L,39.7,160.57,127.35,386
TTZ,TTZ,170806011_L,25.8,141.21,114.88,386
TTZ,TTZ,170806121_L,39.7,178.03,140.58,386
TTZ,TTZ,170806122_L,16.1,125.5,103.85,386
TTZ,TTZ,170806123_L,30.2,152.64,127.34,386
TTZ,TTZ,170806124_L,25.9,146.11,117.93,386
TTZ,TTZ,170806125_L,26.7,148.59,121.16,386
TTZ,TTZ,170806126_L,27.3,147.69,117.86,386
TTZ,TTZ,170806127_L,17.3,125.37,99.92,386
TTZ,TTZ,170806128_L,14.2,120.92,98.96,386
TTZ,TTZ,170806129_L,13.5,126.5,99.27,386
TTZ,TTZ,170806130_L,9.1,103.4,82.84,386
TTZ,TTZ,170806131_L,15.2,127.59,96.49,386
TTZ,TTZ,170806132_L,11.6,113.09,89.04,386
TTZ,TTZ,170806133_L,6.1,87.72,71.33,386
TTZ,TTZ,170806134_L,5,85.93,69.43,386
TTZ,TTZ,170806135_L,9.4,105.48,85.44,386
TTZ,TTZ,170806136_L,7.8,100.5,81.82,386
TTZ,TTZ,170806137_L,11,113.92,89.91,386
TTZ,TTZ,170806138_L,5.8,83.82,69.02,386
TTZ,TTZ,170806139_L,6.7,79.09,73.85,386
TTZ,TTZ,170806140_L,8.7,97.01,78.84,386
TTZ,TTZ,170806141_L,7.9,97.42,78.4,386
TTZ,TTZ,170806142_L,7.9,101.93,81.88,386
TTZ,TTZ,170806143_L,8.9,105.53,86.17,386
TTZ,TTZ,170806144_L,4.9,87.76,70.67,386
TTZ,TTZ,170806145_L,7.2,99.27,79.11,386
TTZ,TTZ,170806146_L,6,92.93,74.22,386
TTZ,TTZ,170806147_L,4.2,81.95,65.03,386
TTZ,TTZ,170806148_L,12.8,119.37,95.46,386
TTZ,TTZ,170806149_L,4.4,83.02,68.78,386
TTZ,TTZ,170806150_L,4.6,82.19,66.96,386
TTZ,TTZ,170806151_L,4.9,85.4,68.92,386
TTZ,TTZ,170806152_L,4.1,81.81,67.71,386
TTZ,TTZ,170806153_L,6.1,91.08,70.84,386
TTZ,TTZ,170806154_L,4,78.16,63.62,386
TTZ,TTZ,170806155_L,3.4,71.67,60.39,386
TTZ,TTZ,170806156_R,3.7,80.96,64.73,386
TTZ,TTZ,170806157_L,5,90.02,70.22,386
TTZ,TTZ,170806159_R,4.6,83.53,66.3,386
TTZ,TTZ,170806160_L,5.1,84.56,67.44,386
TTZ,TTZ,170806161_L,3.9,77.74,62.04,386
TTZ,TTZ,170806162_L,5.7,92.56,73.02,386
TTZ,TTZ,170806163_L,5.9,96.01,75.5,386
TTZ,TTZ,170806164_L,4.4,81.64,64.34,386
TTZ,TTZ,170806165_L,4.4,85.13,67.03,386
TTZ,TTZ,170806166_L,4.8,82.78,66.62,386
TTZ,TTZ,170806167_L,5.1,81.74,61.66,386
TTZ,TTZ,170806168_L,6.8,95.8,75.57,386
TTZ,TTZ,170806238_L,7.1,99.39,78.74,386
TTZ,TTZ,170806239_L,5.6,87.85,70.9,386
TTZ,TTZ,170807005_L,5,79.95,63.81,386
TTZ,TTZ,170807006_L,6.9,91.42,74.17,386
TTZ,TTZ,170807007_L,6.2,87.19,70.05,386
TTZ,TTZ,170807008_L,6.6,88.96,73.27,386
TTZ,TTZ,170807009_R,7.3,92.47,73.52,386
TTZ,TTZ,170811101_L,6.124,98.92,77.29,386
TTZ,TTZ,170811102_L,3.71,81.83,65.09,386
TTZ,TTZ,170811103_L,3.904,83.97,66.68,386
TTZ,TTZ,170811104_L,4.266,86.8,66.76,386
TTZ,TTZ,170811105_L,4.128,84.47,66.95,386
TTZ,TTZ,170811106_L,4.535,92.57,71.58,386
TTZ,TTZ,170811107_L,3.131,79.04,63.23,386
